649,CALL,2,,"date(""Y/m/d-H:i:s"",$sbobba[data])",,STATIC_DISPATCH,,56,date,date,2,<unresolvedSignature>(2),ANY
651,CALL,2,,$sbobba[data],,STATIC_DISPATCH,,56,<operator>.indexAccess,<operator>.indexAccess,2,,ANY
652,CALL,2,,data,,STATIC_DISPATCH,,56,<operator>.fieldAccess,<operator>.fieldAccess,2,,ANY
655,CALL,-1,,"echo ""<ul>\n""",,STATIC_DISPATCH,,57,echo,echo,2,,ANY
658,CALL,-1,,!$rd,,STATIC_DISPATCH,,58,<operator>.logicalNot,<operator>.logicalNot,1,,ANY
660,CALL,-1,,echo encaps,,STATIC_DISPATCH,,60,echo,echo,1,,ANY
661,CALL,1,,encaps,,STATIC_DISPATCH,,60,encaps,encaps,1,,ANY
663,CALL,2,,"$sbobba[""titolo""]",,STATIC_DISPATCH,,60,<operator>.indexAccess,<operator>.indexAccess,2,,ANY
666,CALL,-1,,echo encaps,,STATIC_DISPATCH,,61,echo,echo,2,,ANY
667,CALL,1,,encaps,,STATIC_DISPATCH,,61,encaps,encaps,1,,ANY
669,CALL,2,,"$sbobba[""postatoda""]",,STATIC_DISPATCH,,61,<operator>.indexAccess,<operator>.indexAccess,2,,ANY
676,CALL,-1,,echo encaps,,STATIC_DISPATCH,,65,echo,echo,1,,ANY
677,CALL,1,,encaps,,STATIC_DISPATCH,,65,encaps,encaps,1,,ANY
679,CALL,2,,"$sbobba[""id""]",,STATIC_DISPATCH,,65,<operator>.indexAccess,<operator>.indexAccess,2,,ANY
