720,LITERAL,1,,"""<ul>\n""",,,80,1,string
730,LITERAL,1,,"""<li><a href=\""leggi.php?rd=""",,,83,1,string
732,LITERAL,2,,"""id""",,,83,2,string
733,LITERAL,3,,"""&id=""",,,83,3,string
734,LITERAL,5,,"""\"">""",,,83,5,string
736,LITERAL,2,,"""titolo""",,,83,2,string
737,LITERAL,7,,"""</a>\n""",,,83,7,string
748,LITERAL,1,,"""<li>""",,,87,1,string
750,LITERAL,2,,"""titolo""",,,87,2,string
753,LITERAL,1,,""" postato da <i>""",,,89,1,string
755,LITERAL,2,,"""postatoda""",,,89,2,string
756,LITERAL,3,,"""</i> il """,,,89,3,string
757,LITERAL,5,,"""</li>\n""",,,89,5,string
764,LITERAL,1,,"""</ul>\n""",,,91,1,string
768,LITERAL,1,,"""footer.php""",,,94,1,string
778,LITERAL,1,,"""<div id=\""cornice\"">\n[<a href=\""forum.php\"">elenco messaggi</a>]\n[<a href=\""scrivi.php\"">scrivi messaggio</a>]\n[<a href=\""istruzioni.php\"">istruzioni</a>]\n""",,,1,1,string
836,LITERAL,1,,"""header.php""",,,2,1,string
838,LITERAL,1,,"""database.php""",,,3,1,string
858,LITERAL,1,,""" """,,,8,1,string
863,LITERAL,2,,0,,,10,2,int
869,LITERAL,1,,"""/(^(http:\\/\\/).+(\\..+)$)/i""",,,12,1,string
875,LITERAL,1,,""" <a href=\""""",,,14,1,string
876,LITERAL,3,,"""\"">""",,,14,3,string
878,LITERAL,5,,"""</a> \n""",,,14,5,string
883,LITERAL,1,,""" """,,,18,1,string
892,LITERAL,1,,"""U""",,,23,1,string
895,LITERAL,1,,"""INSERT INTO geccBB_forum VALUES(\'\', \'""",,,24,1,string
896,LITERAL,3,,"""\', \'""",,,24,3,string
897,LITERAL,5,,"""\', \'""",,,24,5,string
898,LITERAL,7,,"""\', \'""",,,24,7,string
899,LITERAL,9,,"""\', \'""",,,24,9,string
900,LITERAL,11,,"""\')""",,,24,11,string
904,LITERAL,1,,"""<hr />\nrisposta inserita correttamente, <a href=\""forum.php\"">torna al forum</a>...\n""",,,26,1,string
906,LITERAL,1,,"""footer.php""",,,27,1,string
965,LITERAL,1,,"""header.php""",,,2,1,string
967,LITERAL,1,,"""database.php""",,,3,1,string
969,LITERAL,1,,"""<hr />\n""",,,4,1,string
990,LITERAL,1,,""" """,,,9,1,string
995,LITERAL,2,,0,,,11,2,int
1001,LITERAL,1,,"""/(^(http:\\/\\/).+(\\..+)$)/i""",,,13,1,string
1007,LITERAL,1,,""" <a href=\""""",,,15,1,string
1008,LITERAL,3,,"""\"">""",,,15,3,string
1010,LITERAL,5,,"""</a> \n""",,,15,5,string
1015,LITERAL,1,,""" """,,,19,1,string
1025,LITERAL,1,,"""    <form method=\""post\"" action=\""scrivi.php\"">\n<input type=\""text\"" name=\""postatoda\"" />nome<br />\n    <input type=\""text\"" name=\""titolo\"" />titolo<br />\n    <textarea name=\""testo\"">\n    </textarea>\n    <input type=\""submit\"" value=\""invia\"" />\n    </form>\n    """,,,26,1,string
1033,LITERAL,1,,"""U""",,,37,1,string
1036,LITERAL,1,,"""INSERT INTO geccBB_forum VALUES(\'\', \'""",,,38,1,string
1037,LITERAL,3,,"""\', \'""",,,38,3,string
1038,LITERAL,5,,"""\', \'""",,,38,5,string
1039,LITERAL,7,,"""\', \'""",,,38,7,string
1040,LITERAL,9,,"""\', \'\')""",,,38,9,string
1044,LITERAL,1,,"""messaggio inserito correttamente, <a href=\""forum.php\"">torna all\'elenco dei messaggi...""",,,40,1,string
1046,LITERAL,1,,"""footer.php""",,,42,1,string
